0,0,0,0.0121466980184518,0,0,0,0,-0.0273319050658192,0,0,-1,0,-0.311107694212366,0,0
0.01,6.08899684264681e-07,0.000121936415187145,0.0122405850189772,0,0,-1.36377225539307e-06,-0.000272472151288827,-0.0271625251919461,0,0,-1.00001551548668,-0.00309910753292334,-0.308713812372302,0,0
0.02,2.44185787042708e-06,0.000244811700379544,0.0123344720195026,0,0,-5.44379702998076e-06,-0.000543250503838923,-0.0269931453180731,0,0,-1.0000619023546,-0.00617427624744604,-0.306319930532239,0,0
0.03,5.50826325853974e-06,0.000368625855577197,0.012428359020028,0,0,-1.22231363363758e-05,-0.000812335057650289,-0.0268237654442001,0,0,-1.00013892121557,-0.00922550614356811,-0.303926048692176,0,0
0.04,9.8175045486552e-06,0.000493378880780104,0.0125222460205534,0,0,-2.16848521871908e-05,-0.00107972581272292,-0.026654385570327,0,0,-1.00024633268141,-0.0122527972212896,-0.301532166852112,0,0
0.05,1.5378970440826e-05,0.000619070775988265,0.0126161330210788,0,0,-3.38120065950385e-05,-0.00134542276905683,-0.026485005696454,0,0,-1.00038389736393,-0.0152561494806104,-0.299138285012049,0,0
0.06,2.22020496351047e-05,0.000745701541201679,0.0127100200216042,0,0,-4.85876615725316e-05,-0.001609425926652,-0.026315625822581,0,0,-1.00055137587496,-0.0182355629215305,-0.296744403171986,0,0
0.07,3.02961308315437e-05,0.000873271176420348,0.0128039070221296,0,0,-6.59948791322828e-05,-0.00187173528550845,-0.0261462459487079,0,0,-1.0007485288263,-0.0211910375440501,-0.294350521331922,0,0
0.08,3.96706027301958e-05,0.00100177968164427,0.012897794022655,0,0,-8.60167212869048e-05,-0.00213235084562616,-0.0259768660748349,0,0,-1.00097511682978,-0.024122573348169,-0.291956639491859,0,0
0.09,5.03348540311134e-05,0.00113122705687345,0.0129916810231803,0,0,-0.00010863625004901,-0.00239127260700515,-0.0258074862009619,0,0,-1.0012309004972,-0.0270301703338873,-0.289562757651796,0,0
0.1,6.22982734343489e-05,0.00126161330210788,0.0130855680237057,0,0,-0.000133836527431212,-0.0026485005696454,-0.0256381063270888,0,0,-1.00151564044039,-0.0299138285012049,-0.287168875811732,0,0
0.11,7.55702496399551e-05,0.00139293841734756,0.0131794550242311,0,0,-0.000161600615446123,-0.00290403473354692,-0.0254687264532158,0,0,-1.00182909727117,-0.0327735478501219,-0.284774993971669,0,0
